top - 10:45:51 up 38 min,  1 user,  load average: 0.14, 0.55, 0.73
Tasks: 261 total,   1 running, 260 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.0 us,  4.5 sy,  0.0 ni, 92.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15864.1 total,  10300.9 free,   2542.9 used,   3020.3 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  12514.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1461 darshan   20   0  314768   8772   7740 S   0.0   0.1   0:00.05 goa-identi+
   1468 darshan   20   0  238124   6584   5876 S   0.0   0.0   0:00.02 gvfs-gphot+
   1473 darshan   20   0  235712   6228   5632 S   0.0   0.0   0:00.01 gvfs-mtp-v+
   1486 darshan   20   0  164028   6416   5788 S   0.0   0.0   0:00.00 gdm-x-sess+
   1488 darshan   20   0  677580 108984  66128 S   0.0   0.7   1:23.70 Xorg
   1502 darshan   20   0  188212  13904  12408 S   0.0   0.1   0:00.04 gnome-sess+
   1577 darshan   20   0    6044    452      0 S   0.0   0.0   0:00.00 ssh-agent
   1598 darshan   20   0  236540   7160   6528 S   0.0   0.0   0:00.00 ibus-dconf
   1599 darshan   20   0  520228  79700  58848 S   0.0   0.5   0:00.57 ibus-ui-gt+
   1603 darshan   20   0  478280  68548  46336 S   0.0   0.4   0:01.95 ibus-exten+
   1605 darshan   20   0  400480  64136  45924 S   0.0   0.4   0:00.47 ibus-x11
   1607 darshan   20   0  236516   6312   5860 S   0.0   0.0   0:00.04 ibus-portal
   1616 darshan   20   0  305556   6672   6020 S   0.0   0.0   0:00.01 at-spi-bus+
   1622 darshan   20   0    7380   4268   3800 S   0.0   0.0   0:00.11 dbus-daemon
   1628 darshan   20   0  162844   7464   6684 S   0.0   0.0   0:00.51 at-spi2-re+
   1638 darshan   20   0  462736  10536   9268 S   0.0   0.1   0:00.14 xdg-deskto+
   1647 darshan   20   0   90072   4244   3828 S   0.0   0.0   0:00.00 gnome-sess+
   1649 darshan   20   0  457436   6360   5764 S   0.0   0.0   0:00.05 xdg-docume+
   1657 darshan   20   0  235608   4608   4176 S   0.0   0.0   0:00.00 xdg-permis+
   1658 darshan   20   0  484112  15728  13032 S   0.0   0.1   0:00.13 gnome-sess+
   1669 darshan   20   0  495440  30308  19556 S   0.0   0.2   0:00.55 xdg-deskto+
   1680 darshan   20   0  156240   5692   4948 S   0.0   0.0   0:00.01 dconf-serv+
   1699 darshan   20   0  162708   7024   6400 S   0.0   0.0   0:00.74 ibus-engin+
   1731 darshan   20   0  581016  19976  17424 S   0.0   0.1   0:00.07 gnome-shel+
   1737 darshan   20   0  390336  25244  21560 S   0.0   0.2   0:00.07 evolution-+
   1746 darshan   20   0  838808  30304  26300 S   0.0   0.2   0:00.12 evolution-+
   1757 darshan   20   0  747040  29328  25844 S   0.0   0.2   0:00.06 evolution-+
   1772 darshan   20   0 2733700  26784  21556 S   0.0   0.2   0:00.11 gjs
   1780 darshan   20   0  313968   8020   6932 S   0.0   0.0   0:00.04 gvfsd-trash
   1792 darshan   20   0  309664   6392   5788 S   0.0   0.0   0:00.01 gsd-a11y-s+
   1793 darshan   20   0  578352  30552  20428 S   0.0   0.2   0:00.45 gsd-color
   1794 darshan   20   0  373600  16264  14324 S   0.0   0.1   0:00.03 gsd-dateti+
   1796 darshan   20   0  311732   7564   6800 S   0.0   0.0   0:00.11 gsd-housek+
   1799 darshan   20   0  345872  28584  18668 S   0.0   0.2   0:00.40 gsd-keyboa+
   1800 darshan   20   0  901152  31368  20804 S   0.0   0.2   0:00.46 gsd-media-+
   1802 darshan   20   0  493788  29172  19056 S   0.0   0.2   0:00.45 gsd-power
   1803 darshan   20   0  248244  11360   9932 S   0.0   0.1   0:00.04 gsd-print-+
   1805 darshan   20   0  457112   6040   5396 S   0.0   0.0   0:00.02 gsd-rfkill
   1806 darshan   20   0  235520   5892   5364 S   0.0   0.0   0:00.01 gsd-screen+
   1807 darshan   20   0  464788  10540   8708 S   0.0   0.1   0:00.23 gsd-sharing
   1808 darshan   20   0  389184   8544   7712 S   0.0   0.1   0:00.01 gsd-smartc+
   1809 darshan   20   0  319360   9052   8036 S   0.0   0.1   0:00.01 gsd-sound
   1818 darshan   20   0  384972   6916   6216 S   0.0   0.0   0:00.02 gsd-usb-pr+
   1824 darshan   20   0  345368  28072  18040 S   0.0   0.2   0:00.42 gsd-wacom
   1834 darshan   20   0  313988   8108   7212 S   0.0   0.0   0:00.00 gsd-wwan
   1835 darshan   20   0  346556  29412  18896 S   0.0   0.2   0:00.45 gsd-xsetti+
   1862 darshan   20   0  231812   5932   4648 S   0.0   0.0   0:00.01 gsd-disk-u+
   1881 darshan   20   0  342176  15040  13144 S   0.0   0.1   0:00.01 gsd-printer
   1899 darshan   20   0 1044480 182380  55428 S   0.0   1.1   0:07.23 snap-store
   1902 darshan   20   0  793476  59016  42980 S   0.0   0.4   0:00.48 evolution-+
   2010 darshan   20   0  162300   6284   5680 S   0.0   0.0   0:00.00 gvfsd-meta+
   2296 root      20   0  505404  84568  22388 S   0.0   0.5   0:01.62 fwupd
   2619 root      20   0    8448   4528   4164 S   0.0   0.0   0:00.02 bluetoothd
   2658 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   3175 darshan   20   0   33.4g 499952 382408 S   0.0   3.1   0:59.60 msedge
   3180 darshan   20   0    8228    580    512 S   0.0   0.0   0:00.00 cat
   3181 darshan   20   0    8228    512    448 S   0.0   0.0   0:00.00 cat
   3183 darshan   20   0   32.0g   3676   3344 S   0.0   0.0   0:00.00 msedge_cra+
   3185 darshan   20   0   32.0g   3228   2936 S   0.0   0.0   0:00.00 msedge_cra+
   3191 darshan   20   0   32.5g  67536  52956 S   0.0   0.4   0:00.03 msedge
   3192 darshan   20   0   32.5g  67148  52644 S   0.0   0.4   0:00.03 msedge
   3194 darshan   20   0   32.5g  18868   4224 S   0.0   0.1   0:00.12 msedge
   3218 darshan   20   0   32.7g 174468  95596 S   0.0   1.1   3:31.54 msedge
   3223 darshan   20   0   32.5g 115984  84208 S   0.0   0.7   0:13.39 msedge
